location,property_type,bedrooms,bathrooms,size_sqm,size_sqft,amenities,amenity_score,price_kes,price_per_sqm,price_per_sqft,distance_km,distance_category,listing_date,month,listing_month_name
Westlands,Residential,1,1.0,79.0,850.356,none,0,9022900,114213.92405063291,10610.83102320097,5.0,Prime (0-5),2026-04-07,4,April
Westlands,Residential,1,1.0,65.0,699.66,none,0,6500000,100000.0,9290.312990644654,5.0,Prime (0-5),2026-04-07,4,April
Kiambu Road,Residential,4,4.0,234.0,2518.776,En-Suite,0,30000000,128205.1282051282,11910.657680313661,15.0,Suburban (10-15),2026-04-07,4,April
Kilimani,Residential,2,2.0,120.0,1291.6799999999998,none,0,14800000,123333.33333333333,11458.052688461741,4.0,Prime (0-5),2026-04-07,4,April
Westlands,Residential,1,1.0,64.0,688.896,none,0,9000000,140625.0,13064.502643094047,5.0,Prime (0-5),2026-04-07,4,April
Kilimani,Residential,2,2.0,113.0,1216.3319999999999,none,0,12800000,113274.33628318584,10523.540378783326,4.0,Prime (0-5),2026-04-07,4,April
Kilimani,Residential,2,2.0,91.0,979.5239999999999,none,0,11400000,125274.72527472528,11638.414076192204,4.0,Prime (0-5),2026-04-07,4,April
Westlands,Residential,3,3.0,134.0,1442.376,none,0,18000000,134328.35820895524,12479.524912806253,5.0,Prime (0-5),2026-04-07,4,April
Westlands,Residential,1,1.0,59.0,635.0759999999999,none,0,9000000,152542.37288135593,14171.663884034218,5.0,Prime (0-5),2026-04-07,4,April
Westlands,Residential,4,4.0,211.0,2271.2039999999997,none,0,27000000,127962.08530805688,11888.078234474204,5.0,Prime (0-5),2026-04-07,4,April
Westlands,Residential,5,5.0,266.0,2863.2239999999997,none,0,35000000,131578.94736842104,12224.096040321914,5.0,Prime (0-5),2026-04-07,4,April
Westlands,Residential,1,1.0,41.0,441.32399999999996,none,0,5800000,141463.41463414635,13142.39398676561,5.0,Prime (0-5),2026-04-07,4,April
Westlands,Residential,4,4.0,213.0,2292.732,none,0,31000000,145539.9061032864,13521.112803285647,5.0,Prime (0-5),2026-04-07,4,April
Karen,Residential,5,5.0,800.0,8611.199999999999,none,0,150000000,187500.0,17419.33685745873,12.0,Suburban (10-15),2026-04-07,4,April
Karen,Residential,6,1.0,650.0,6996.599999999999,none,0,80000000,123076.92307692308,11434.231373101115,12.0,Suburban (10-15),2026-04-07,4,April
Karen,Residential,4,4.0,300.0,3229.2,none,0,50000000,166666.66666666666,15483.854984407757,12.0,Suburban (10-15),2026-04-07,4,April
Kiambu Road,Residential,5,5.0,800.0,8611.199999999999,none,0,130000000,162500.0,15096.758609797565,15.0,Suburban (10-15),2026-04-07,4,April
Karen,Residential,5,5.0,740.0,7965.36,En-Suite,0,165000000,222972.97297297296,20714.887073734702,12.0,Suburban (10-15),2026-04-07,4,April
Lavington,Residential,5,5.0,900.0,9687.599999999999,none,0,220000000,244444.44444444444,22709.653977131376,5.0,Prime (0-5),2026-04-07,4,April
Karen,Residential,5,5.0,620.0,6673.679999999999,none,0,160000000,258064.51612903227,23975.001266179755,12.0,Suburban (10-15),2026-04-07,4,April
Runda,Residential,4,4.0,300.0,3229.2,none,0,62000000,206666.66666666666,19199.980180665618,11.0,Suburban (10-15),2026-04-07,4,April
Lavington,Residential,5,5.0,400.0,4305.599999999999,none,0,72000000,180000.0,16722.56338316038,5.0,Prime (0-5),2026-04-07,4,April
Lavington,Residential,5,5.0,450.0,4843.799999999999,none,0,75000000,166666.66666666666,15483.854984407757,5.0,Prime (0-5),2026-04-07,4,April
Karen,Residential,5,5.0,650.0,6996.599999999999,none,0,150000000,230769.23076923078,21439.18382456459,12.0,Suburban (10-15),2026-04-07,4,April
Lavington,Residential,5,5.0,730.0,7857.719999999999,none,0,100000000,136986.301369863,12726.45615156802,5.0,Prime (0-5),2026-04-07,4,April
Karen,Residential,6,1.0,450.0,4843.799999999999,none,0,95000000,211111.11111111112,19612.882980249826,12.0,Suburban (10-15),2026-04-07,4,April
Runda,Residential,4,4.0,400.0,4305.599999999999,none,0,60000000,150000.0,13935.469485966983,11.0,Suburban (10-15),2026-04-07,4,April
Karen,Residential,5,5.0,650.0,6996.599999999999,none,0,165000000,253846.15384615384,23583.102207021046,12.0,Suburban (10-15),2026-04-07,4,April
Lavington,Residential,5,5.0,450.0,4843.799999999999,En-Suite,0,70000000,155555.55555555556,14451.59798544724,5.0,Prime (0-5),2026-04-07,4,April
Runda,Residential,8,1.0,700.0,7534.799999999999,"Garden, En-Suite",5,150000000,214285.7142857143,19907.813551381405,11.0,Suburban (10-15),2026-04-07,4,April
Runda,Residential,4,4.0,300.0,3229.2,none,0,35000000,116666.66666666667,10838.698489085431,11.0,Suburban (10-15),2026-04-07,4,April
Karen,Residential,5,5.0,400.0,4305.599999999999,En-Suite,0,110000000,275000.0,25548.360724272803,12.0,Suburban (10-15),2026-04-07,4,April
Nyari,Residential,5,5.0,300.0,3229.2,none,0,140000000,466666.6666666667,43354.793956341724,10.0,Mid-range (5-10),2026-04-07,4,April
Karen,Residential,5,5.0,400.0,4305.599999999999,none,0,90000000,225000.0,20903.204228950475,12.0,Suburban (10-15),2026-04-07,4,April
Karen,Residential,7,1.0,650.0,6996.599999999999,none,0,80000000,123076.92307692308,11434.231373101115,12.0,Suburban (10-15),2026-04-07,4,April
Karen,Residential,4,4.0,300.0,3229.2,En-Suite,0,140000000,466666.6666666667,43354.793956341724,12.0,Suburban (10-15),2026-04-07,4,April
Kiambu Road,Residential,4,4.0,300.0,3229.2,none,0,35000000,116666.66666666667,10838.698489085431,15.0,Suburban (10-15),2026-04-07,4,April
Karen,Residential,5,5.0,900.0,9687.599999999999,none,0,145000000,161111.11111111112,14967.7264849275,12.0,Suburban (10-15),2026-04-07,4,April
Riverside,Residential,5,5.0,300.0,3229.2,none,0,50000000,166666.66666666666,15483.854984407757,5.5,Mid-range (5-10),2026-04-07,4,April
Karen,Residential,11,1.0,650.0,6996.599999999999,none,0,165000000,253846.15384615384,23583.102207021046,12.0,Suburban (10-15),2026-04-07,4,April
Karen,Residential,5,5.0,650.0,6996.599999999999,Gated,10,185000000,284615.3846153846,26441.660050296327,12.0,Suburban (10-15),2026-04-07,4,April
Kenyatta,Residential,3,3.0,200.0,2152.7999999999997,none,0,12500000,62500.0,5806.44561915291,10.0,Mid-range (5-10),2026-04-07,4,April
Lavington,Residential,5,5.0,450.0,4843.799999999999,none,0,85000000,188888.88888888888,17548.368982328793,5.0,Prime (0-5),2026-04-07,4,April
Kilimani,Apartment,1,1.0,55.0,592.02,Furnished,10,7000000,127272.72727272728,11824.034715365924,4.0,Prime (0-5),2026-04-07,4,April
Kileleshwa,Apartment,1,1.0,36.0,387.50399999999996,"Gym, Generator, Furnished",30,4500000,125000.0,11612.891238305818,4.5,Prime (0-5),2026-04-07,4,April
Roysambu,Apartment,1,1.0,40.0,430.55999999999995,none,0,3300000,82500.0,7664.50821728184,14.0,Suburban (10-15),2026-04-07,4,April
Westlands,Apartment,2,2.0,57.0,613.548,none,0,13000000,228070.1754385965,21188.433136557986,5.0,Prime (0-5),2026-04-07,4,April
Westlands,Apartment,1,1.0,46.0,495.14399999999995,none,0,9000000,195652.1739130435,18176.69932952215,5.0,Prime (0-5),2026-04-07,4,April
Kilimani,Apartment,3,3.0,100.0,1076.3999999999999,none,0,14999990,149999.9,13935.460195653994,4.0,Prime (0-5),2026-04-07,4,April
